pub_date	title	venue	excerpt	citation	url_slug	paper_url
2017-01-01	Modeling Human-Robot Interaction to Inform Function Allocation in Manned Spaceflight Operations	Robotics: Science and Systems; Workshop: Bridging the Gap in Space Robotics	"This paper demonstrates the use of a computational simulation framework called Work Models that Compute (WMC) to evaluate function allocations for human-robot teams in spaceflight operations. The focus is on the modeling and simulation of human-robot interaction associated with different control modes, as well as mismatches between authority and responsibility in the function allocation. The interactions required by these aspects of function allocation are modeled as various forms of teamwork actions. B y simulating the work dynamics of the taskwork, as well as the teamwork required for interaction, the simulation framework can provide objective measures of different function allocations given different modes of human-robot interaction. We specifically highlight a measure for the required communication between agents via different communication channels. A case study demonstrates the application of the simulation framework to an on-orbit maintenance scenario."	"Martijn IJtsma and Amy R Pritchett and Lanssie M Ma and Karen M Feigh (2017). Modeling Human-Robot Interaction to Inform Function Allocation in Manned Spaceflight Operations. In Robotics: Science and Systems; Workshop: Bridging the Gap in Space Robotics"	pub11	https://www.researchgate.net/publication/320735946_Modeling_Human-Robot_Interaction_to_Inform_Function_Allocation_in_Manned_Spaceflight_Operations
2018-01-01	Technologies for Mixed-Initiative Plan Management for Human Space Flight	The 28th International Conference on Automated Planning and Scheduling	"As humans endeavor to explore Mars and other celes- tial bodies further afield, we are faced with a bevy of challenges unique to deep space travel. Given that as- tronauts have traditionally relied on ground-based mis- sion control to produce, manage, and adjust daily flight plans as needed, one such challenge will be the time lag in communications with mission control as a crew moves further away from the Earth. This will necessitate (automated) planning systems that will provide crews greater autonomy in managing and adapting plans to re- flect the current state of the mission. This paper details the progress our research team has made in developing a mixed-initiative plan management system for use on future missions to Mars and beyond. We describe the system’s design and intended capabilities and provide the results of some preliminary testing with small sam- ple plans."	"Melissa Baltrusaitis and Karen M Feigh and Martijn Ijtsma and Amy Pritchett and William Lassiter and Martin Savelsbergh (2018). Technologies for Mixed-Initiative Plan Management for Human Space Flight. In The 28th International Conference on Automated Planning and Scheduling"	pub12	 
2017-01-01	Adaptive Automation Based on Air Traffic Controller Decision-Making	International Symposium on Aviation Psychology	"Through smart scheduling and triggering of automation support, adaptive automation has the potential to balance air traffic controller workload. The challenge in the design of adaptive automation systems is to decide how and when the automation should provide support. This paper describes the design of a novel mechanism for adaptively invoking automation support. Whereas most adaptive automation support systems are reactive in that they invoke automation support after controller workload has increased, the aim of the designed mechanism is to proactively trigger automation support prior to workload increases. To do this, the mechanism assesses the quality of air traffic controller's decisions. The designed adaptive automation system has been tested in a human-in-the-loop experiment. Results indicate that the adaptive support helps to increase efficiency and safety as compared to manual control. However, lower triggering thresholds (resulting in more frequent automation intervention) increased the frustration level of participants (as measured with NASA TLX) and decreased acceptance of the support."	"Martijn IJtsma and Clark Borst and Gustavo A. Mercado-Velasco and Max Mulder and Rene van Paassen (2017). Adaptive Automation Based on Air Traffic Controller Decision-Making. In International Symposium on Aviation Psychology"	pub13	https://corescholar.libraries.wright.edu/cgi/viewcontent.cgi?article=1038&context=isap_2017
2017-01-01	Work Dynamics of Taskwork and Teamwork in Function Allocation for Manned Spaceflight Operations	International Symposium on Aviation Psychology	"This paper proposes a methodology for human-robot function allocation for future manned space exploration missions that uses fast-time computational simulation. Dynamics of taskwork and teamwork often result in emergent work patterns that are difficult to predict from static analysis of function allocations. We model the dynamics of taskwork and teamwork and demonstrate our approach through a case study that explores the function allocation design space for an on-orbit maintenance mission involving humans and various robots. The case study highlights the method’s ability to predict possible concerns associated with limited availability of physical resources, action interdependencies, and communication requirements with possible time delays, and shows the influence of work dynamics on mission performance."	"Martijn IJtsma and Lanssie M Ma and Amy R Pritchett and Karen M Feigh (2017). Work Dynamics of Taskwork and Teamwork in Function Allocation for Manned Spaceflight Operations. In International Symposium on Aviation Psychology"	pub14	https://corescholar.libraries.wright.edu/isap_2017/58/
2019-01-01	Analysis of Work Dynamics for Objective Function Allocation in Manned Spaceflight Operations	Advances in Aviation Psychology	"This chapter proposes a methodology for human-robot function allocation for future space exploration mission that uses fast-time computational simulation. Dynamics of taskwork and teamwork often result in emergent work patterns that are difficult to predict from static analysis of function allocations. We model the dynamics of taskwork and teamwork and demonstrate our approach through a case study that explores the function allocation design space for an on-orbit maintenance mission involving humans and various robots. The case study highlights the method’s ability to predict possible concerns associated with limited availability of physical resources, action interdependencies, and communication requirements with possible time delays, and shows the influence of work dynamics on mission performance."	"Martijn IJtsma and Lanssie M Ma and Karen M Feigh and Amy R Pritchett (2019). Analysis of Work Dynamics for Objective Function Allocation in Manned Spaceflight Operations. In Advances in Aviation Psychology"	pub15	https://www.taylorfrancis.com/chapters/edit/10.4324/9780429492181-5/analysis-work-dynamics-objective-function-allocation-manned-spaceflight-operations-martijn-ijtsma-lanssie-ma-karen-feigh-amy-pritchett
2019-01-01	Simulating Human-Robot Teamwork Dynamics for Evaluation of Work Strategies in Human-Robot Teams	International Symposium on Aviation Psychology	"To foster resilience in teams operating in complex work domains, design should allow for a range of work strategies as appropriate to context. This paper describes how computational simulation and network visualization of a team’s work can identify feasible work strategies and assess their appropriateness for different contexts. Network visualizations can identify constraints and dependencies that drive the feasible set of work strategies. After preliminary network analysis, these dependencies and inter-dependencies can be simulated in detail to better understand their impact. To illustrate, we describe a case study that explores two different work strategies that can each address the dependencies in a human-robot (rover) team in a manned space exploration mission."	"Martijn IJtsma and Sean Ye and Karen Feigh and Amy Pritchett (2019). Simulating Human-Robot Teamwork Dynamics for Evaluation of Work Strategies in Human-Robot Teams. In International Symposium on Aviation Psychology"	pub16	https://corescholar.libraries.wright.edu/isap_2019/18
2019-3-01	An Integrated System for Mixed-Initiative Planning of Manned Spaceflight Operations	2019 IEEE Aerospace Conference	"Manned spaceflight in outer/deeper space will require crew operations that are independent of ground support. This requires the crew to re-plan day-to-day activities, particularly in the case of unforeseen circumstances. To support these planning duties, we are developing a mixed-initiative planning tool that optimizes schedules in collaboration with astronauts. This paper highlights the tool's planning algorithm. The planning algorithm has two closely-coupled components: first, an optimization algorithm (optimizer) based on local search heuristics and, secondly, a computational model of the work that is to be performed. In this framework, the optimizer acts as a surrogate model of the more detailed computational models, such that new solutions can be efficiently explored. The computational work model is capable of simulating a plan through time, and can account for dynamic interactions between activities and work environment that are not modeled in the optimizer. Moreover, the computational model returns to the optimizer metrics that reflect required teamwork to coordinate activities between astronauts. The paper includes a description of the optimizer and computational simulation models as well as a case study with activities, agents and resources that are representative of a typical manned mission."	"Martijn IJtsma and William Lassiter and Karen M. Feigh and Martin Savelsbergh and Amy R. Pritchett (2019). An Integrated System for Mixed-Initiative Planning of Manned Spaceflight Operations. In 2019 IEEE Aerospace Conference"	pub17	https://ieeexplore.ieee.org/document/8741566/
2019-01-01	Computational Simulation of Adaptation of Work Strategies in Human-Robot Teams	Website: http://hdl.handle.net/1853/61783	"Human-robot teams operating in complex work domains, such as space operations, need to adapt to maintain performance under a wide variety of work conditions. This dissertation argues that from the start team design needs to establish team structures that allow flexibility in strategies for conducting the team’s collective work. In addition, team design needs to facilitate fluent coordination of work, fostering the interweaving of team members’ dependent actions in ways that accounts for the dynamic characteristics of the work and the work environment. This dissertation establishes a methodology to analyze a team’s strategies based on computational modeling of a team’s collective work, including the teamwork required to coordinate dependent work between multiple team members. This approach consists of the systematic identification of feasible work strategies and the simulation of work models to address the dynamic and emergent nature of a team’s work. It provides a formative analysis tool to help designers predict and understand the effects of their design choices on a team’s feasible work strategies. Two case studies on space operations demonstrate how this approach can predict how work allocation and human-robot interaction modes can foster and/or limit the availability of appropriate work strategies."	"Martijn IJtsma (2019). Computational Simulation of Adaptation of Work Strategies in Human-Robot Teams. In Website: http://hdl.handle.net/1853/61783"	pub18	http://hdl.handle.net/1853/61783
2019-12-01	Computational Methodology for the Allocation of Work and Interaction in Human-Robot Teams	Journal of Cognitive Engineering and Decision Making	"This paper presents a three-phase computational methodology for making informed design decisions when determining the allocation of work and the interaction modes for human-robot teams. The methodology highlights the necessity to consider constraints and dependencies in the work and the work environment as a basis for team design, particularly those dependencies that arise within the dynamics of the team’s collective activities. These constraints and dependencies form natural clusters in the team’s work, which drive the team’s performance and behavior. The proposed methodology employs network visualization and computational simulation of work models to identify dependencies resulting from the interplay of taskwork distributed between teammates, teamwork, and the work environment. Results from these analyses provide insight into not only team efficiency and performance, but also quantified measures of required teamwork, communication, and physical interaction. The paper describes each phase of the methodology in detail and demonstrates each phase with a case study examining the allocation of work in a human-robot team for space operations."	"Martijn IJtsma and Lanssie M. Ma and Amy R. Pritchett and Karen M. Feigh (2019). Computational Methodology for the Allocation of Work and Interaction in Human-Robot Teams. In Journal of Cognitive Engineering and Decision Making"	pub19	http://journals.sagepub.com/doi/10.1177/1555343419869484
2015-01-01	Computational Simulation of Authority-Responsibility Mismatches in Air-Ground Function Allocation	International Symposium on Aviation Psychology	"Authority-responsibility mismatches are created when one agent is authorized (has authority) to perform an activity, but a different agent is responsible for its outcome. An authority-responsibility mismatch demands monitoring by the responsible agent that itself requires additional information transfer and taskload. This paper demonstrates a computational simulation methodology that identifies when mismatches will occur in complex, multi-agent aviation operations, and their implications for information transfer between agents and task demands on each agent. A case study examines 25 authority and responsibility allocations in a NextGen/SESAR scenario in a terminal area where authority and responsibility for activities involving optimal profile descents, merging and spacing can be fluidly allocated to the aircraft (pilot/flight management system) or to the ground (air traffic controller/controller decision aids and automation)."	"M IJtsma and A R Pritchett and R P Bhattacharyya (2015). Computational Simulation of Authority-Responsibility Mismatches in Air-Ground Function Allocation. In International Symposium on Aviation Psychology"	pub20	https://corescholar.libraries.wright.edu/isap_2015/55/
